regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,2,57,68833,23650,18,6,0.595983086680761,0.07378318584070796,0.3607355327203894,0.6159350488509702,0.1225089539902654,0.4863777392084044,0.08069755299637121,13428,8373,1182,667
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,3,57,71526,20957,19,5,0.7105024574127976,0.3499207606973059,0.5291157440690151,0.7556005719733079,0.421253457979586,0.6630487792968416,0.36912119744539185,12682,4102,1965,2208
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,4,57,78385,14098,20,4,0.6756986806639239,0.30481410867492853,0.43592365371506475,0.738713722680043,0.358765778401122,0.6317440639000077,0.2953933966350085,8247,2917,1655,1279
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_shallow,5,57,73089,19394,19,5,0.48123130865216046,0.1632897402836618,0.64496180429247,0.4541904475818564,0.26060116116704635,0.5726371347138328,0.17123085447743303,7560,9085,976,1773
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,1,57,78099,14384,20,4,0.6903503893214683,0.22735084704149275,0.4146887595163457,0.7410089704551066,0.29368855058674276,0.6185622969483529,0.20998896355803554,9004,3147,1307,926
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,2,57,68833,23650,18,6,0.6295137420718816,0.07364006414209942,0.3228772309356409,0.6555203889729829,0.11992768179991965,0.48895656266753734,0.08049965842772633,14291,7510,1252,597
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,3,57,71526,20957,19,5,0.7285871069332442,0.36329182458040066,0.4823867721063983,0.7897998093422307,0.4144533662754787,0.6507632778538871,0.34687757503886046,13256,3528,2160,2013
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,4,57,78385,14098,20,4,0.6873315363881402,0.29797149122807015,0.37048398091342877,0.7706019347903977,0.33029474323913705,0.6088796469907535,0.2769885034851921,8603,2561,1847,1087
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,5,57,73089,19394,19,5,0.5056718572754461,0.16915037739500677,0.635867588213896,0.4841694202463202,0.26721699915921426,0.5884192629756625,0.17645993368668245,8059,8586,1001,1748
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,1,57,78099,14384,20,4,0.8434371523915462,0.22857142857142856,0.0035826242722794446,0.9977779606616739,0.007054673721340388,0.6053930347943329,0.20088591213310728,12124,27,2225,8
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,2,57,68833,23650,18,6,0.9171247357293869,0.08270676691729323,0.005949161709031909,0.9944039264253933,0.011099899091826439,0.4901695108333905,0.07585640057339164,21679,122,1838,11
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,3,57,71526,20957,19,5,0.8007825547549745,0.4852941176470588,0.007907979870596693,0.9979146806482364,0.01556236736618722,0.6461317643702069,0.3208390095102812,16749,35,4140,33
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,4,57,78385,14098,20,4,0.790821393105405,0.2222222222222222,0.002044989775051125,0.9981189537800071,0.004052684903748734,0.5983194686543586,0.26536019958846635,11143,21,2928,6
exclude_ucddb005_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,5,57,73089,19394,19,5,0.847787975662576,0.16279069767441862,0.017824663514005093,0.9848603184139382,0.032131147540983604,0.6099137390794283,0.1827346249732671,16393,252,2700,49
