regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,2,57,37673,9498,20,5,0.7033059591492946,0.39408866995073893,0.1875,0.8936292879792448,0.25410269984118583,0.5916172145250793,0.33043946222692827,6200,738,2080,480
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,3,57,38033,9138,20,5,0.7048588312541038,0.37142857142857144,0.03454821564160972,0.9763222632226323,0.0632163945814519,0.534937672839143,0.32550580227965775,6350,154,2543,91
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,4,57,36741,10430,20,5,0.7800575263662513,0.20606060606060606,0.03238095238095238,0.968547418967587,0.05596707818930041,0.4902779397473275,0.19994568505248186,8068,262,2032,68
all_records_sleep_only,window_60s,respiratory_spo2,ExtraTrees,extra_trees,5,57,38819,8352,20,5,0.7199473180076629,0.46701846965699206,0.07649092480553155,0.9665452136469029,0.13145191236539175,0.7312645094465103,0.4623828919348404,5836,202,2137,177
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,1,46,79713,15831,21,4,0.7033036447476471,0.11714727085478888,0.2640742890307603,0.756946413382478,0.16229712858926343,0.519920224893085,0.11904750890303982,10679,3429,1268,455
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,2,46,77975,17569,20,5,0.5336672548238375,0.3032872796569795,0.7832185039370079,0.4585708996667901,0.437255305996291,0.6897927039999767,0.39199270932739927,6193,7312,881,3183
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,3,46,76634,18910,20,5,0.7556319407720783,0.24067300658376006,0.3957497995188452,0.8103070175438597,0.2993176648976497,0.6345771396185151,0.21943364988297384,13302,3114,1507,987
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,4,46,76581,18963,20,5,0.5216474186573854,0.09845745962882622,0.33942667220606565,0.5481396472577917,0.15263895375992526,0.4369104246463238,0.10707462136922406,9075,7481,1590,817
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_shallow,5,46,71273,24271,19,6,0.6594701495612048,0.20550141852719872,0.4773638968481375,0.6900534141764112,0.28731568509097183,0.6114130317133143,0.20073085154672304,14340,6441,1824,1666
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,1,46,79713,15831,21,4,0.7111363779925463,0.11693548387096774,0.2524666279744631,0.7671533881485681,0.1598383244534264,0.5168277557375562,0.1199106966396023,10823,3285,1288,435
all_records_sleep_only,window_10s,flow_spo2,XGBoost,xgb_regularized,2,46,77975,17569,20,5,0.5409528146166543,0.30230259907105445,0.7527066929133859,0.4772306553128471,0.431361489106677,0.6582935253638926,0.351711296432371,6445,7060,1005,3059
