regime,experiment,model,config_name,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,236,0.7045464553844609,0.09566603044580432,0.285457919243897,0.1213247119393099,0.42037046404889883,0.29170558145933495,0.7399766234105607,0.17021129814321695,0.32985721933426254,0.181350817679463,0.6209740468497963,0.08327512583675852,0.2964496544472733,0.1796649169740859,2505.4,820.8,407.8,424.6
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,236,0.7092060171863487,0.09535517634072807,0.29336033969286285,0.1238528163348338,0.4247659218301682,0.29088739246834106,0.7455825174921598,0.16661088569852034,0.3359629832546235,0.18286863872744594,0.6214606435939711,0.08213368335224216,0.2958219498156603,0.17458815970148803,2521.2,805.0,404.6,427.8
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,236,0.7245848826833999,0.08544128964776518,0.2912097996603765,0.1366885411247522,0.36067846902781214,0.25767955732044817,0.7867791975521888,0.1379181343110327,0.31172371734153903,0.1843875891735439,0.610631698381489,0.07555567472043055,0.2878812464897143,0.16633188545498614,2648.4,677.8,467.6,364.8
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,236,0.7153094445507941,0.09365131467485557,0.29816275867277453,0.12604529264671085,0.41467415583329714,0.28299680691062085,0.7572758551508956,0.16053186867318894,0.33593829399794506,0.18210410815775638,0.6210096499891454,0.08518841471682904,0.30031070480340993,0.17766169913089597,2556.8,769.4,415.2,417.2
all_epochs,advanced_spo2,XGBoost,config_1,84,0.6968593004451995,0.09741381881208613,0.26581815529199304,0.13362184950585568,0.4018990141184914,0.2816138167736959,0.7373191346217316,0.1643011293797368,0.310237619462238,0.19255328922685644,0.6131033788622817,0.07322539899333214,0.2745834236354962,0.16255357705997447,2493.4,832.8,428.0,404.4
all_epochs,advanced_spo2,XGBoost,config_2,84,0.6946127160078744,0.1021184369866058,0.26049762106138397,0.1454278988891608,0.41026568080848885,0.29631412875825347,0.7317841716041975,0.171145525440946,0.309102519115203,0.20416194581760116,0.6158735596435803,0.08425973440004787,0.27884003542219676,0.17605956527572705,2474.2,852.0,418.8,413.6
all_epochs,advanced_spo2,XGBoost,config_3,84,0.688525135730077,0.10247396821339654,0.25936001529459884,0.13472874930099366,0.42129689446963703,0.313189163035423,0.7176503700129456,0.18128171780275018,0.3101326482419492,0.2020405991088542,0.6248119838952523,0.08496433607380847,0.29000319345074044,0.1929593754160756,2435.0,891.2,403.8,428.6
all_epochs,advanced_spo2,XGBoost,config_4,84,0.6886199822098825,0.10267423868579978,0.2604117883824642,0.13529099677624046,0.4236872611090636,0.3171122857120029,0.7168010614862359,0.18183652733790456,0.31115437979723426,0.20351844638012928,0.6278774895876138,0.08528069373748104,0.29232421727382746,0.19680845605210123,2432.2,894.0,400.6,431.8
all_epochs,advanced_spo2,XGBoost,config_5,84,0.7008456788853255,0.0986312993714958,0.2655636612213651,0.14117647109189854,0.39179192005267194,0.27883922428269764,0.7462610820942949,0.16138883346925628,0.30633456290537514,0.19672665305511003,0.6108128302968396,0.08481553240220716,0.2792916457614917,0.17569202728173652,2520.0,806.2,438.0,394.4
all_epochs,advanced_spo2,XGBoost,config_6,84,0.695520682792764,0.1003202437579721,0.2559480237009243,0.14852220456064102,0.4128546177554397,0.3164057645236493,0.7288073286748988,0.17760461869395539,0.30719833463660257,0.21228722416098003,0.6259541807657365,0.08326431732082677,0.28755827504168974,0.18726908571186465,2469.2,857.0,409.8,422.6
