regime,window_set,feature_set,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,max_f1,0.4,0.4656074688101817,0.1713832555155576,0.6783044152912964,0.42854509254479756,0.2736300005690548,34869,46497,4561,9617,0.10684950783609404,
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,max_youden,0.5,0.6191492924725781,0.18695382533686644,0.46776696290026804,0.6455276159575253,0.267139289454604,52524,28842,7546,6632,0.11329457885779326,
all_records_sleep_only,window_10s,respiratory_spo2,XGBoost,xgb_regularized,sensitivity_ge_0.70_max_specificity,0.35,0.38897261994473753,0.16604714415231187,0.7750740584003386,0.3216945652975444,0.27350108265511835,26175,55191,3189,10989,0.09676862369788308,
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,max_f1,0.15,0.3820229423093025,0.16756075874333135,0.7975031739314431,0.309625642160116,0.2769355115236719,25193,56173,2871,11307,0.10712881609155911,
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,max_youden,0.2,0.5456020262915515,0.18109033792185694,0.5854845535336437,0.5386525084187499,0.2766216238732359,43828,37538,5877,8301,0.1241370619523936,
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,sensitivity_ge_0.70_max_specificity,0.15,0.3820229423093025,0.16756075874333135,0.7975031739314431,0.309625642160116,0.2769355115236719,25193,56173,2871,11307,0.10712881609155911,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,max_f1,0.15,0.27918537172889524,0.27712829077484286,0.9983375554148195,0.004177640541276905,0.43382985310812205,138,32895,21,12611,0.0025151959560965054,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,max_youden,0.5,0.5767217781670864,0.31626886145404665,0.4563014566181127,0.6227711682257137,0.3735943221959361,20572,12461,6868,5764,0.07907262484382649,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,sensitivity_ge_0.70_max_specificity,0.4,0.4177378736450235,0.28478026214340785,0.731000633312223,0.2979444797626616,0.40988081763100076,9842,23191,3398,9234,0.028945113074884565,
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,max_f1,0.1,0.2789006898061973,0.27702955069757224,0.998179227359088,0.003844640208276572,0.43369391370148075,127,32906,23,12609,0.0020238675673645012,
