experiment,model,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
respiratory_spo2_fusion,XGBoost,2,41,16684,4109,20,5,0.7320515940618155,0.26373626373626374,0.3025210084033613,0.8223858615611193,0.28180039138943247,0.6135518124775684,0.24643346334261962,2792,603,498,216
respiratory_spo2_fusion,XGBoost,3,41,16578,4215,20,5,0.5077105575326216,0.2227743271221532,0.7309782608695652,0.46047714860592126,0.341478895588702,0.6292715532324381,0.24909362562099913,1602,1877,198,538
respiratory_spo2_fusion,XGBoost,4,41,16428,4365,20,5,0.6508591065292096,0.28334714167357083,0.34165834165834164,0.7428656361474435,0.30978260869565216,0.5664855358672244,0.32172565197544856,2499,865,659,342
respiratory_spo2_fusion,XGBoost,5,41,16806,3987,20,5,0.6049661399548533,0.3268318397469689,0.6753812636165577,0.5839035516454871,0.4404973357015986,0.6984578017152336,0.44717806067220905,1792,1277,298,620
full_core_fusion,XGBoost,1,53,16676,4117,20,5,0.7733786737915959,0.36486486486486486,0.23833543505674654,0.9010228640192539,0.28832951945080093,0.6209096061658648,0.29504089491480806,2995,329,604,189
full_core_fusion,XGBoost,2,53,16684,4109,20,5,0.7164760282307131,0.19485791610284167,0.20168067226890757,0.8247422680412371,0.19821059876118377,0.5636539151743172,0.19893833487597534,2800,595,570,144
full_core_fusion,XGBoost,3,53,16578,4215,20,5,0.5677342823250296,0.21390937829293993,0.5516304347826086,0.5711411325093417,0.3082763857251329,0.5788254370946174,0.2294362137453106,1987,1492,330,406
full_core_fusion,XGBoost,4,53,16428,4365,20,5,0.604352806414662,0.2560483870967742,0.3806193806193806,0.6709274673008323,0.30614704700683004,0.5095917756440943,0.26686610448122317,2257,1107,620,381
full_core_fusion,XGBoost,5,53,16806,3987,20,5,0.6390770002508152,0.35020126509488214,0.6633986928104575,0.631801889866406,0.45841174256680467,0.7098389190946645,0.3978029170559808,1939,1130,309,609
full_minus_ecg,XGBoost,1,41,16676,4117,20,5,0.6524168083555988,0.2657856093979442,0.45649432534678436,0.6991576413959085,0.3359628770301624,0.592491194765267,0.2587032006910406,2324,1000,431,362
full_minus_ecg,XGBoost,2,41,16684,4109,20,5,0.7320515940618155,0.26373626373626374,0.3025210084033613,0.8223858615611193,0.28180039138943247,0.6135518124775684,0.24643346334261962,2792,603,498,216
full_minus_ecg,XGBoost,3,41,16578,4215,20,5,0.5077105575326216,0.2227743271221532,0.7309782608695652,0.46047714860592126,0.341478895588702,0.6292715532324381,0.24909362562099913,1602,1877,198,538
full_minus_ecg,XGBoost,4,41,16428,4365,20,5,0.6508591065292096,0.28334714167357083,0.34165834165834164,0.7428656361474435,0.30978260869565216,0.5664855358672244,0.32172565197544856,2499,865,659,342
full_minus_ecg,XGBoost,5,41,16806,3987,20,5,0.6049661399548533,0.3268318397469689,0.6753812636165577,0.5839035516454871,0.4404973357015986,0.6984578017152336,0.44717806067220905,1792,1277,298,620
full_minus_flow,XGBoost,1,43,16676,4117,20,5,0.7753218362885597,0.36693548387096775,0.22950819672131148,0.9055354993983152,0.28238944918541503,0.6279682101055717,0.28594008542891103,3010,314,611,182
full_minus_flow,XGBoost,2,43,16684,4109,20,5,0.6914091019712826,0.171021377672209,0.20168067226890757,0.7944035346097201,0.18508997429305912,0.49788492716674304,0.17166002233275945,2697,698,570,144
