regime,experiment,model,config_name,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,max_youden,0.5,0.704564035973645,0.3409346394732616,0.5100913022585295,0.7532319163008839,0.4087015112137838,12527,4104,2039,2123,0.26332321855941343,
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.4,0.5429230991198961,0.26433739191812244,0.7198462277751081,0.49864710480428115,0.3866804336602994,8293,8338,1166,2996,0.2184933325793892,
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,max_f1,0.5,0.7091328812581157,0.34701492537313433,0.5139356078808265,0.7579820816547411,0.41429401510749564,12606,4025,2023,2139,0.2719176895355675,
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,max_youden,0.5,0.7091328812581157,0.34701492537313433,0.5139356078808265,0.7579820816547411,0.41429401510749564,12606,4025,2023,2139,0.2719176895355675,
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.5468186408887606,0.26565701559020044,0.7164824603555983,0.504359328963983,0.38759992201208815,8388,8243,1180,2982,0.22084178931958132,
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,max_f1,0.45,0.6867695859183379,0.3238951310861423,0.5194617972128784,0.7286392880764837,0.3990034142290302,12118,4513,2000,2162,0.24810108528936214,
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,max_youden,0.45,0.6867695859183379,0.3238951310861423,0.5194617972128784,0.7286392880764837,0.3990034142290302,12118,4513,2000,2162,0.24810108528936214,
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.3,0.49906218438897704,0.24887568262126566,0.7445939452186449,0.43761649930852026,0.3730588660166125,7278,9353,1063,3099,0.18221044452716506,
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,max_f1,0.5,0.715144519790314,0.3515927861115793,0.5012013455069678,0.7686849858697613,0.4132738979692917,12784,3847,2076,2086,0.26988633137672924,
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,max_youden,0.5,0.715144519790314,0.3515927861115793,0.5012013455069678,0.7686849858697613,0.4132738979692917,12784,3847,2076,2086,0.26988633137672924,
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.35,0.47746837878132065,0.24638668180098372,0.7823161941374339,0.40117852203715954,0.37474823041952005,6672,9959,906,3256,0.18349471617459345,
all_epochs,advanced_spo2,XGBoost,config_1,max_f1,0.45,0.6373298706295388,0.29622482209624895,0.5901009130225853,0.6491491792435813,0.3944431060788565,10796,5835,1706,2456,0.23925009226616645,
all_epochs,advanced_spo2,XGBoost,config_1,max_youden,0.45,0.6373298706295388,0.29622482209624895,0.5901009130225853,0.6491491792435813,0.3944431060788565,10796,5835,1706,2456,0.23925009226616645,
all_epochs,advanced_spo2,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.4,0.557014379839369,0.26833073322932915,0.7025468524747718,0.5205940713126089,0.38833919915001,8658,7973,1238,2924,0.2231409237873807,
all_epochs,advanced_spo2,XGBoost,config_2,max_f1,0.45,0.636608474005675,0.29778360343183985,0.6004324843825084,0.645661716072395,0.3981201210769476,10738,5893,1663,2499,0.24609420045490338,
all_epochs,advanced_spo2,XGBoost,config_2,max_youden,0.45,0.636608474005675,0.29778360343183985,0.6004324843825084,0.645661716072395,0.3981201210769476,10738,5893,1663,2499,0.24609420045490338,
all_epochs,advanced_spo2,XGBoost,config_2,sensitivity_ge_0.70_max_specificity,0.4,0.5594671283605059,0.2700588884799411,0.7051898125901009,0.5229992183272203,0.39055222887558216,8698,7933,1227,2935,0.22818903091732112,
all_epochs,advanced_spo2,XGBoost,config_3,max_f1,0.5,0.6885971240321263,0.32474617366267616,0.5148966842864008,0.7320666225723047,0.3982901217358982,12175,4456,2019,2143,0.2469633068587056,
all_epochs,advanced_spo2,XGBoost,config_3,max_youden,0.55,0.7395277256769105,0.3704009921455147,0.43056222969726093,0.8168480548373519,0.3982222222222222,13585,3046,2370,1792,0.2474102845346129,
all_epochs,advanced_spo2,XGBoost,config_3,sensitivity_ge_0.70_max_specificity,0.4,0.52570576636368,0.2609862462260986,0.7477174435367612,0.47014611268113765,0.38692030336938954,7819,8812,1050,3112,0.21786355621789877,
all_epochs,advanced_spo2,XGBoost,config_4,max_f1,0.45,0.622421007069687,0.2942095280598014,0.6335896203748198,0.6196259996392279,0.4018285714285714,10305,6326,1525,2637,0.2532156200140476,
all_epochs,advanced_spo2,XGBoost,config_4,max_youden,0.45,0.622421007069687,0.2942095280598014,0.6335896203748198,0.6196259996392279,0.4018285714285714,10305,6326,1525,2637,0.2532156200140476,
all_epochs,advanced_spo2,XGBoost,config_4,sensitivity_ge_0.70_max_specificity,0.4,0.5294089356995143,0.26296265070398783,0.7493993272465161,0.47435511995670737,0.3893153591711914,7889,8742,1043,3119,0.22375444720322357,
all_epochs,advanced_spo2,XGBoost,config_5,max_f1,0.45,0.6494012408021931,0.3024254674077817,0.5752042287361845,0.6679694546329145,0.39642324888226527,11109,5522,1768,2394,0.24317368336909895,
all_epochs,advanced_spo2,XGBoost,config_5,max_youden,0.45,0.6494012408021931,0.3024254674077817,0.5752042287361845,0.6679694546329145,0.39642324888226527,11109,5522,1768,2394,0.24317368336909895,
all_epochs,advanced_spo2,XGBoost,config_5,sensitivity_ge_0.70_max_specificity,0.35,0.5184437070167845,0.25768243187277395,0.7474771744353677,0.46112681137634537,0.3832460732984293,7669,8962,1051,3111,0.20860398581171302,
all_epochs,advanced_spo2,XGBoost,config_6,max_f1,0.5,0.6953782522964459,0.330259456080025,0.507688611244594,0.7423486260597679,0.40018939393939396,12346,4285,2049,2113,0.2500372373043618,
all_epochs,advanced_spo2,XGBoost,config_6,max_youden,0.5,0.6953782522964459,0.330259456080025,0.507688611244594,0.7423486260597679,0.40018939393939396,12346,4285,2049,2113,0.2500372373043618,
all_epochs,advanced_spo2,XGBoost,config_6,sensitivity_ge_0.70_max_specificity,0.4,0.5425383542538355,0.2660486269022214,0.7308986064392119,0.495400156334556,0.39010002564760193,8239,8392,1120,3042,0.22629876277376781,
sleep_only,advanced_full,XGBoost,config_1,max_f1,0.4,0.5342005352586046,0.2594776748104465,0.6182965299684543,0.5108903020667727,0.3655476432689047,6427,6153,1331,2156,0.12918683203522696,
sleep_only,advanced_full,XGBoost,config_1,max_youden,0.5,0.6665836808364972,0.30689797604295743,0.4261542873530255,0.7332273449920509,0.35682554928562854,9224,3356,2001,1486,0.15938163234507652,
sleep_only,advanced_full,XGBoost,config_1,sensitivity_ge_0.70_max_specificity,0.3,0.40349785274164435,0.2362661129855524,0.7831947232578147,0.2982511923688394,0.36302007177987505,3752,8828,756,2731,0.08144591562665404,
sleep_only,advanced_full,XGBoost,config_2,max_f1,0.45,0.6045310263272546,0.28217596110013676,0.5325494694579868,0.624483306836248,0.36889153754469606,7856,4724,1630,1857,0.15703277629423473,
sleep_only,advanced_full,XGBoost,config_2,max_youden,0.5,0.6630982759693782,0.3042682926829268,0.4293088614855176,0.7279014308426073,0.3561317949327941,9157,3423,1990,1497,0.1572102923281249,
