regime,feature_variant,experiment,model,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
all_epochs,enhanced,flow_only,XGBoost,max_f1,0.4,0.4869908142163228,0.23772276429320216,0.7083133109082173,0.43160363177199207,0.3559741592706635,7178,9453,1214,2948,0.13991694268020938,
all_epochs,enhanced,flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.4869908142163228,0.23772276429320216,0.7083133109082173,0.43160363177199207,0.3559741592706635,7178,9453,1214,2948,0.13991694268020938,
all_epochs,enhanced,flow_only,XGBoost,max_youden,0.5,0.6381474534699177,0.2727764260610976,0.4848630466122057,0.6765077265347844,0.34913494809688583,11251,5380,2144,2018,0.16137077314699022,
all_epochs,enhanced,full_core_fusion,XGBoost,max_f1,0.45,0.5985668253739239,0.27013072613424144,0.5908217203267659,0.6005050808730684,0.37075009423294386,9987,6644,1703,2459,0.19132680119983436,
all_epochs,enhanced,full_core_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.46722454672245467,0.2364730986130163,0.7455550216242192,0.3975708015152426,0.35906040268456374,6612,10019,1059,3103,0.14312582313946187,
all_epochs,enhanced,full_core_fusion,XGBoost,max_youden,0.5,0.6624825662482566,0.2951219512195122,0.4942335415665545,0.704587817930371,0.3695652173913043,11718,4913,2105,2057,0.19882135949692548,
all_epochs,enhanced,late_fusion,XGBoost,max_f1,0.45,0.6158803443466552,0.28304027226318773,0.5994714079769342,0.6199867716914197,0.3845264699082993,10311,6320,1667,2495,0.2194581796683539,
all_epochs,enhanced,late_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.5106045303707979,0.25445043279438184,0.7486785199423354,0.45102519391497803,0.3798147245246221,7501,9130,1046,3116,0.19970371385731345,
all_epochs,enhanced,late_fusion,XGBoost,max_youden,0.45,0.6158803443466552,0.28304027226318773,0.5994714079769342,0.6199867716914197,0.3845264699082993,10311,6320,1667,2495,0.2194581796683539,
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,max_f1,0.5,0.6719088154667436,0.317156997525433,0.5543008169149447,0.7013408694606458,0.40346274921301156,11664,4967,1855,2307,0.25564168637559037,
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.5342663396335305,0.25903299005061964,0.7131186929360884,0.48950754614875835,0.3800256081946223,8141,8490,1194,2968,0.20262623908484678,
all_epochs,enhanced,respiratory_spo2_fusion,XGBoost,max_youden,0.5,0.6719088154667436,0.317156997525433,0.5543008169149447,0.7013408694606458,0.40346274921301156,11664,4967,1855,2307,0.25564168637559037,
all_epochs,enhanced,spo2_only,XGBoost,max_f1,0.5,0.6818159957678065,0.3198237885462555,0.5233061028351754,0.7214839757080151,0.3970105723660226,11999,4632,1984,2178,0.24479007854319068,
all_epochs,enhanced,spo2_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.5432597508776992,0.26151095216808223,0.7027871215761653,0.5033371414827731,0.38118198996546554,8371,8260,1237,2925,0.20612426305893838,
all_epochs,enhanced,spo2_only,XGBoost,max_youden,0.5,0.6818159957678065,0.3198237885462555,0.5233061028351754,0.7214839757080151,0.3970105723660226,11999,4632,1984,2178,0.24479007854319068,
sleep_only,base,effort_only,XGBoost,max_f1,0.35,0.3716312939565569,0.23079429735234216,0.8124462288500144,0.24944356120826708,0.3594721482045426,3138,9442,654,2833,0.061889790058281546,
sleep_only,base,effort_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.4428953756146138,0.23926321817140675,0.7189561227416117,0.3663751987281399,0.3590404582885786,4609,7971,980,2507,0.08533132146975153,
sleep_only,base,effort_only,XGBoost,max_youden,0.5,0.5902782099956433,0.25827607745159276,0.4743332377401778,0.6224165341812401,0.3344454554645637,7830,4750,1833,1654,0.09674977192141787,
sleep_only,base,flow_only,XGBoost,max_f1,0.4,0.4964834754465675,0.2557053391359728,0.6908517350157729,0.44260731319554847,0.37325689494886893,5568,7012,1078,2409,0.13345904821132137,
sleep_only,base,flow_only,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.40953507188647537,0.24115616911130286,0.801548609119587,0.3008744038155803,0.37076341447237515,3785,8795,692,2795,0.10242301293516731,
sleep_only,base,flow_only,XGBoost,max_youden,0.5,0.6517084707786146,0.293841642228739,0.4310295382850588,0.7128775834658188,0.3494536154382702,8968,3612,1984,1503,0.1439071217508776,
sleep_only,base,full_core_fusion,XGBoost,max_f1,0.3,0.40654758200037344,0.2397590361445783,0.7989675939202753,0.29777424483306836,0.3688356391076984,3746,8834,701,2786,0.09674183875334363,
sleep_only,base,full_core_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.4653015497603784,0.24596854469440574,0.7086320619443648,0.3978537360890302,0.3651814084090741,5005,7575,1016,2471,0.10648579803339508,
sleep_only,base,full_core_fusion,XGBoost,max_youden,0.45,0.6011078608327628,0.26904837179892505,0.48809865213650705,0.6324324324324324,0.346886782839091,7956,4624,1785,1702,0.12053108456893957,
sleep_only,base,late_fusion,XGBoost,max_f1,0.4,0.45397398394224187,0.24581650317368725,0.7330083166045311,0.3766295707472178,0.3681670867842996,4738,7842,931,2556,0.10963788735174895,
sleep_only,base,late_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.4,0.45397398394224187,0.24581650317368725,0.7330083166045311,0.3766295707472178,0.3681670867842996,4738,7842,931,2556,0.10963788735174895,
sleep_only,base,late_fusion,XGBoost,max_youden,0.5,0.6754216717495488,0.3018348623853211,0.37740177803269287,0.7580286168521463,0.33541480820695807,9536,3044,2171,1316,0.1354303948848392,
sleep_only,base,respiratory_spo2_fusion,XGBoost,max_f1,0.35,0.45260471774444516,0.24632001529344294,0.7390306854029252,0.3732114467408585,0.3694888522474729,4695,7885,910,2577,0.11224213214378365,
sleep_only,base,respiratory_spo2_fusion,XGBoost,sensitivity_ge_0.70_max_specificity,0.35,0.45260471774444516,0.24632001529344294,0.7390306854029252,0.3732114467408585,0.3694888522474729,4695,7885,910,2577,0.11224213214378365,
sleep_only,base,respiratory_spo2_fusion,XGBoost,max_youden,0.5,0.6548204394099707,0.2953687139733651,0.4261542873530255,0.7182034976152624,0.34890819441183374,9035,3545,2001,1486,0.144357784968288,
sleep_only,base,spo2_only,XGBoost,max_f1,0.35,0.3575651957428269,0.22814414127754357,0.8224835101806711,0.22869634340222575,0.35720513139867976,2877,9703,619,2868,0.051179853582896895,
