regime,feature_set,model,postprocessing,smoothing_window_epochs,smoothing_centered,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index,details
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,max_f1,0.45,0.6489699383830211,0.3393043737871324,0.6518497275595068,0.6481717011128776,0.44629884154722166,8154,4426,1214,2273,0.30002142867238435,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,max_youden,0.45,0.6489699383830211,0.3393043737871324,0.6518497275595068,0.6481717011128776,0.44629884154722166,8154,4426,1214,2273,0.30002142867238435,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,sensitivity_ge_0.70_max_specificity,0.4,0.5538681770087758,0.29331836047164517,0.7490679667335819,0.49976152623211445,0.42156229825693997,6287,6293,875,2612,0.24882949296569645,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,max_f1,0.45,0.6501524864629364,0.3411256700416915,0.6570117579581302,0.6482511923688394,0.44908360286190335,8155,4425,1196,2291,0.3052629503269695,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,max_youden,0.45,0.6501524864629364,0.3411256700416915,0.6570117579581302,0.6482511923688394,0.44908360286190335,8155,4425,1196,2291,0.3052629503269695,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,sensitivity_ge_0.70_max_specificity,0.4,0.5556108794423352,0.2955791829882485,0.7573845712646975,0.4996820349761526,0.4252133311866044,6286,6294,846,2641,0.25706660624085,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,max_f1,0.5,0.7027447563328562,0.37516947511136933,0.5554918267852021,0.7435612082670906,0.4478612716763006,9354,3226,1550,1937,0.29905303505229286,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,max_youden,0.5,0.7027447563328562,0.37516947511136933,0.5554918267852021,0.7435612082670906,0.4478612716763006,9354,3226,1550,1937,0.29905303505229286,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,sensitivity_ge_0.70_max_specificity,0.4,0.5585983693284372,0.295796986518636,0.7487811872669917,0.5058823529411764,0.424070164040929,6364,6216,876,2611,0.2546635402081683,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,max_f1,0.45,0.65245534325014,0.3427800269905533,0.6555778606251792,0.6515898251192369,0.4501772351319417,8197,4383,1201,2286,0.3071676857444161,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,max_youden,0.45,0.65245534325014,0.3427800269905533,0.6555778606251792,0.6515898251192369,0.4501772351319417,8197,4383,1201,2286,0.3071676857444161,
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,sensitivity_ge_0.70_max_specificity,0.4,0.5620215348229289,0.3009196949304621,0.7694293088614855,0.5045310015898251,0.43263726517777956,6347,6233,804,2683,0.27396031045131064,
