experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
full_core_fusion,XGBoost,0.3,0.3886885009378156,0.2192815393708544,0.8022585295530995,0.28519030725753114,0.3444220950023209,4743,11888,823,3339
full_core_fusion,XGBoost,0.35,0.4478430240946472,0.22511830541575903,0.7200864968765017,0.37971258493175397,0.3430042918454936,6315,10316,1165,2997
full_core_fusion,XGBoost,0.4,0.5139229548405714,0.2336230845057801,0.626381547333013,0.48577956827611085,0.3403172116702565,8079,8552,1555,2607
full_core_fusion,XGBoost,0.45,0.5882268070985428,0.2479954180985109,0.5201826045170591,0.6052552462269256,0.33586720446788704,10066,6565,1997,2165
full_core_fusion,XGBoost,0.5,0.6592122348867407,0.27091820745847695,0.41542527630946663,0.7202212735253443,0.32795902883156297,11978,4653,2433,1729
full_core_fusion,XGBoost,0.55,0.7179820131775116,0.3011682242990654,0.30970687169629985,0.8201551319824424,0.3053778725420516,13640,2991,2873,1289
full_core_fusion,XGBoost,0.6,0.7607367864185063,0.3393915448439352,0.2063911580970687,0.899464854789249,0.25668608994471837,14959,1672,3303,859
full_core_fusion,XGBoost,0.65,0.7834848266243447,0.3678071539657854,0.11364728495915426,0.951115386928026,0.1736417033773862,15818,813,3689,473
full_core_fusion,XGBoost,0.7,0.7934881931419228,0.3695652173913043,0.04493032196059587,0.9808189525584752,0.08011996572407884,16312,319,3975,187
full_core_fusion,XGBoost,0.75,0.7976242004520753,0.375,0.016578567996155695,0.9930852023329926,0.031753336401288544,16516,115,4093,69
full_core_fusion,XGBoost,0.8,0.7986341557254846,0.24489795918367346,0.0028832292167227293,0.9977752390114846,0.00569935882213251,16594,37,4150,12
full_core_fusion,XGBoost,0.85,0.7996441109988939,0.3333333333333333,0.0009610764055742432,0.9995189705970777,0.0019166267369429804,16623,8,4158,4
full_core_fusion,XGBoost,0.9,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_core_fusion,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_minus_ecg,XGBoost,0.05,0.20030779589284856,0.20016355589763324,0.9997597308986065,0.0002405147014611268,0.33354709418837675,4,16627,1,4161
full_minus_ecg,XGBoost,0.1,0.2106959072764873,0.20168517436197156,0.9949543488707352,0.014430882087667608,0.33538511379282415,240,16391,21,4141
full_minus_ecg,XGBoost,0.15,0.2337325061318713,0.2043502285628171,0.9774147044690052,0.04762191088930311,0.3380281690140845,792,15839,94,4068
full_minus_ecg,XGBoost,0.2,0.2605203674313471,0.20693079657118962,0.9512253724171071,0.08766760868258072,0.3399158581608998,1458,15173,203,3959
full_minus_ecg,XGBoost,0.25,0.2965421055162795,0.20967652444099208,0.9079769341662662,0.14352714809692743,0.3406806400721208,2387,14244,383,3779
full_minus_ecg,XGBoost,0.3,0.34915596595007936,0.21559939301972686,0.8534358481499279,0.22295712825446456,0.3442360808257014,3708,12923,610,3552
full_minus_ecg,XGBoost,0.35,0.41235031020054824,0.22299388021728667,0.7791926958193176,0.32054596837231675,0.3467522052927025,5331,11300,919,3243
full_minus_ecg,XGBoost,0.4,0.4827105275813976,0.23282009724473257,0.6902931283037002,0.4307618303168781,0.3482002181553751,7164,9467,1289,2873
full_minus_ecg,XGBoost,0.45,0.5592747559274756,0.2509460266879108,0.6054781355117732,0.547712103902351,0.3548296254576176,9109,7522,1642,2520
full_minus_ecg,XGBoost,0.5,0.629394507767037,0.26987012987012987,0.49927919269581933,0.6619565870963863,0.3503625021075704,11009,5622,2084,2078
full_minus_ecg,XGBoost,0.55,0.6928293175587938,0.29761688193560126,0.39308024987986545,0.7678431844146474,0.3387514235428098,12770,3861,2526,1636
full_minus_ecg,XGBoost,0.6,0.7371711633722887,0.32859773743751647,0.30009610764055744,0.8465516204678011,0.31370086650759765,14079,2552,2913,1249
full_minus_ecg,XGBoost,0.65,0.770884432260857,0.3754139072847682,0.21792407496395963,0.9092658288737899,0.27576771055031923,15122,1509,3255,907
full_minus_ecg,XGBoost,0.7,0.7858413889289665,0.39944713199723564,0.13887554060547813,0.9477481811075702,0.2060973435550009,15762,869,3584,578
full_minus_ecg,XGBoost,0.75,0.7943057759823018,0.42363877822045154,0.0766458433445459,0.9739041548914678,0.12980671414038658,16197,434,3843,319
full_minus_ecg,XGBoost,0.8,0.7980089453181359,0.4460227272727273,0.037722248918789045,0.9882749083037701,0.06956136464333186,16436,195,4005,157
full_minus_ecg,XGBoost,0.85,0.7984417832924542,0.384,0.011532916866890917,0.9953700919968733,0.02239328201539538,16554,77,4114,48
full_minus_ecg,XGBoost,0.9,0.799163179916318,0.15,0.0007208073041806823,0.9989778125187903,0.0014347202295552368,16614,17,4159,3
full_minus_ecg,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
full_minus_effort,XGBoost,0.05,0.2041071514451979,0.20034834776718757,0.9949543488707352,0.006193253562624015,0.33353469453505696,103,16528,21,4141
full_minus_effort,XGBoost,0.1,0.22892319530611263,0.20216769531838025,0.9680442095146564,0.04395406169202092,0.3344817566726163,731,15900,133,4029
full_minus_effort,XGBoost,0.15,0.2638868850093782,0.20590098173756993,0.9372897645362807,0.09536407912933678,0.3376319889215856,1586,15045,261,3901
full_minus_effort,XGBoost,0.2,0.29668638484105225,0.2084169453734671,0.8983661701105238,0.14611268113763454,0.3383404216812958,2430,14201,423,3739
full_minus_effort,XGBoost,0.25,0.3401144615976531,0.2140592282381095,0.8596828447861605,0.21008959172629427,0.3427695550126934,3494,13137,584,3578
full_minus_effort,XGBoost,0.3,0.3883999422882701,0.21952658842043143,0.8044209514656415,0.2842883771270519,0.34492350486787204,4728,11903,814,3348
full_minus_effort,XGBoost,0.35,0.4429375270523734,0.22459734283381577,0.7270543008169149,0.37183572845890206,0.3431811738020981,6184,10447,1136,3026
full_minus_effort,XGBoost,0.4,0.5124320684845861,0.23463587921847248,0.6347909658817876,0.48181107570200227,0.3426274153806251,8013,8618,1520,2642
full_minus_effort,XGBoost,0.45,0.5848121964122541,0.2504186669643854,0.5389235944257569,0.5962960735974987,0.3419467947252077,9917,6714,1919,2243
full_minus_effort,XGBoost,0.5,0.655220506901361,0.27243832299076737,0.4324843825084094,0.7109614575190909,0.33429287770452226,11824,4807,2362,1800
full_minus_effort,XGBoost,0.55,0.7121146539700861,0.2965194109772423,0.3193176357520423,0.8104142865732668,0.3074965293845442,13478,3153,2833,1329
full_minus_effort,XGBoost,0.6,0.7555908238349445,0.33162518301610544,0.21768380586256608,0.8902050387829956,0.2628372497824195,14805,1826,3256,906
full_minus_effort,XGBoost,0.65,0.7823305920261626,0.37219101123595505,0.1273426237385872,0.9462449642234382,0.18976011457214464,15737,894,3632,530
full_minus_effort,XGBoost,0.7,0.7931034482758621,0.3801369863013699,0.053339740509370494,0.978233419517768,0.09355246523388117,16269,362,3940,222
full_minus_effort,XGBoost,0.75,0.7973356418025297,0.3686868686868687,0.017539644401729938,0.9924839155793398,0.033486238532110094,16506,125,4089,73
full_minus_effort,XGBoost,0.8,0.7989708074832876,0.3392857142857143,0.004565112926477655,0.9977752390114846,0.009009009009009009,16594,37,4143,19
full_minus_effort,XGBoost,0.85,0.7994036454576059,0.2,0.0007208073041806823,0.9992784558956166,0.0014364376346660283,16619,12,4159,3
full_minus_effort,XGBoost,0.9,0.7998845765401817,1.0,0.0002402691013935608,1.0,0.00048042277203939464,16631,0,4161,1
