regime,experiment,model,config_name,n_features,roc_auc_mean,roc_auc_std,f1_mean,sensitivity_mean,specificity_mean,average_precision_mean
all_epochs,advanced_respiratory,XGBoost,config_5,152,0.5932281051024776,0.06174863080421997,0.3067624980733612,0.3449792826669637,0.7786946409597589,0.2801197271346793
all_epochs,advanced_full,XGBoost,config_5,260,0.5927068578023238,0.09088767678504725,0.2972988039115677,0.3196523932167213,0.8128230932705568,0.28308410560744507
sleep_only,advanced_full,XGBoost,config_6,260,0.5926567925858727,0.05802632030690337,0.33732068109514934,0.42193369989319657,0.7112794306347505,0.30158216455288656
sleep_only,advanced_late_fusion,XGBoost,config_2,260,0.5915773607822457,0.04115121982982922,0.32011772655113846,0.35969441328852136,0.7775583665101425,0.2959263579593346
sleep_only,advanced_late_fusion,XGBoost,config_3,260,0.591516476105882,0.06004283415321398,0.34331437343516547,0.4380332620729844,0.7080101696858104,0.3073838731583356
sleep_only,advanced_late_fusion,XGBoost,config_5,260,0.5905114450761259,0.04412979517086007,0.30609425928625533,0.3019316167049461,0.831784921208438,0.29125452087669274
sleep_only,advanced_full,XGBoost,config_4,260,0.5904375770057761,0.056045698512449754,0.34971752443955667,0.4658558633999327,0.6771006155357229,0.3058874231636567
sleep_only,advanced_late_fusion,XGBoost,config_6,260,0.5902520520055914,0.04999984459834677,0.32512904101151185,0.38878324796903446,0.7429400833482259,0.30298451982582525
sleep_only,advanced_late_fusion,XGBoost,config_4,260,0.5895300382913413,0.06071761400112365,0.33796271692472213,0.432294775991255,0.7065115281173634,0.30516608513805343
sleep_only,advanced_full,XGBoost,config_3,260,0.5880053135077757,0.05527992047291195,0.34579623326909686,0.46180548076641825,0.6747985868104597,0.30377612011307864
sleep_only,advanced_full,XGBoost,config_2,260,0.5859897819472792,0.05645234423196354,0.3222918386940668,0.38895137110189265,0.7319614284379019,0.28721375444123165
sleep_only,advanced_full,XGBoost,config_1,260,0.5858790001841112,0.05452093025439148,0.3210855909448481,0.3838405601329903,0.7390161463530531,0.2903165787114764
sleep_only,advanced_full,XGBoost,config_5,260,0.5701578048272526,0.03974290312506906,0.3004829374043866,0.3360527273630541,0.7672543771304802,0.26570179555691176
