regime,feature_set,model,postprocessing,smoothing_window_epochs,smoothing_centered,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,2,68,12684,3383,20,5,0.6574046704108779,0.3069958847736626,0.5405797101449276,0.6873375417749722,0.3916010498687664,0.6490600967618679,0.30865710625047005,1851,842,317,373
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,3,68,13491,2576,21,4,0.6459627329192547,0.4270231213872832,0.8323943661971831,0.57502679528403,0.5644699140401146,0.7892728288271968,0.649818197087796,1073,793,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,4,68,12973,3094,20,5,0.6955397543632837,0.3058823529411765,0.30678466076696165,0.804635761589404,0.30633284241531666,0.6630306315810037,0.31382120799090485,1944,472,470,208
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,15,True,5,68,12355,3712,19,6,0.7704741379310345,0.4375,0.39295039164490864,0.8686354378818737,0.4140302613480055,0.694118590680996,0.43941872069598437,2559,387,465,301
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,1,68,12765,3302,20,5,0.6674742580254391,0.31756214915797915,0.6158631415241057,0.6799548702519744,0.41904761904761906,0.6906845906709629,0.3543764697746141,1808,851,247,396
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,2,68,12684,3383,20,5,0.6627253916642034,0.32313725490196077,0.5971014492753624,0.6795395469736354,0.4193384223918575,0.651706248620955,0.31557468398901034,1830,863,278,412
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,3,68,13491,2576,21,4,0.6475155279503105,0.4282608695652174,0.8323943661971831,0.5771704180064309,0.5655502392344498,0.7927471581902994,0.6007149284291274,1077,789,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,4,68,12973,3094,20,5,0.709114414996768,0.3238095238095238,0.3008849557522124,0.8236754966887417,0.3119266055045872,0.6768800425872745,0.35990272363613623,1990,426,474,204
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,31,False,5,68,12355,3712,19,6,0.767510775862069,0.42981186685962375,0.3877284595300261,0.8662593346911066,0.40768702814001373,0.6904844201723273,0.4554974605317985,2552,394,469,297
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,1,68,12765,3302,20,5,0.6783767413688674,0.3317269076305221,0.6423017107309487,0.6871004136893569,0.4375,0.7165955933573408,0.4152623061908427,1827,832,230,413
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,2,68,12684,3383,20,5,0.6582914572864321,0.3165354330708661,0.5826086956521739,0.6776828815447457,0.41020408163265304,0.6450453941243266,0.3151438646608655,1825,868,288,402
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,3,68,13491,2576,21,4,0.6471273291925466,0.4279507603186097,0.8323943661971831,0.5766345123258306,0.5652797704447633,0.7901733013299517,0.6539308350083967,1076,790,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,4,68,12973,3094,20,5,0.7029734970911441,0.31317829457364343,0.29793510324483774,0.8166390728476821,0.30536659108087677,0.6663223544120807,0.31650002689978834,1973,443,476,202
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,31,True,5,68,12355,3712,19,6,0.7742456896551724,0.4479768786127168,0.4046997389033943,0.8703326544467074,0.4252400548696845,0.6956048738033072,0.43562634443542525,2564,382,456,310
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,1,68,12765,3302,20,5,0.6701998788612962,0.32102728731942215,0.6220839813374806,0.6818352764197066,0.4235044997353097,0.6750991526766983,0.31311636713084123,1813,846,243,400
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,2,68,12684,3383,20,5,0.6695240910434526,0.33410852713178296,0.6246376811594203,0.6810248793167472,0.4353535353535353,0.655600940710484,0.31272111090796867,1834,859,259,431
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,3,68,13491,2576,21,4,0.6475155279503105,0.4282608695652174,0.8323943661971831,0.5771704180064309,0.5655502392344498,0.8012944763975061,0.6158534831591893,1077,789,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,4,68,12973,3094,20,5,0.7188106011635423,0.3327526132404181,0.28171091445427726,0.8414735099337748,0.305111821086262,0.6816558489128524,0.3967350834072412,2033,383,487,191
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_causal,61,False,5,68,12355,3712,19,6,0.7869073275862069,0.4814264487369985,0.42297650130548303,0.8815342837746096,0.45031271716469773,0.6932961275101523,0.4831315716123667,2597,349,442,324
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,1,68,12765,3302,20,5,0.6744397334948516,0.32636655948553056,0.6314152410575428,0.6848439262880782,0.4303126656067833,0.720681601907194,0.4239096422126678,1821,838,237,406
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,2,68,12684,3383,20,5,0.6668637304167898,0.3299610894941634,0.6144927536231884,0.6802822131451912,0.4293670886075949,0.6473019153252932,0.32362418719905006,1832,861,266,424
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,3,68,13491,2576,21,4,0.6471273291925466,0.4279507603186097,0.8323943661971831,0.5766345123258306,0.5652797704447633,0.7962335643011337,0.6598480110162704,1076,790,119,591
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,4,68,12973,3094,20,5,0.7107304460245637,0.32066115702479336,0.2861356932153392,0.8298841059602649,0.3024162120031177,0.673093828752271,0.32036523998443045,2005,411,484,194
sleep_only,spo2_flow_spo2,MeanEnsemble,rolling_mean_centered,61,True,5,68,12355,3712,19,6,0.7855603448275862,0.47774480712166173,0.42036553524804177,0.8805159538357095,0.44722222222222224,0.6959261484794179,0.4498965461756628,2594,352,444,322
