experiment,components,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,fold,n_valid,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,3,2576,4,0.6983695652173914,0.46362649294245384,0.6014084507042253,0.7352625937834941,0.5236051502145923,0.7191159820660296,0.5523453727916484,1372,494,283,427
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,2,3383,5,0.6630209872893881,0.3019366197183099,0.4971014492753623,0.7055328629780914,0.37568455640744797,0.6475758407465408,0.3090449236885567,1900,793,347,343
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,5,3712,6,0.7314116379310345,0.29411764705882354,0.2154046997389034,0.8655804480651731,0.24868123587038432,0.5603925489090841,0.25286380967284705,2550,396,601,165
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,1,3302,5,0.7353119321623258,0.3572311495673671,0.4494556765163297,0.8044377585558481,0.39807162534435264,0.6407008797259461,0.31717972461357824,2139,520,354,289
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,4,3094,5,0.5303813833225598,0.21818181818181817,0.4424778761061947,0.5550496688741722,0.2922552362396493,0.48327826779190847,0.20473312156427342,1341,1075,378,300
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,3,2576,4,0.7368012422360248,0.5176211453744494,0.6619718309859155,0.7652733118971061,0.580964153275649,0.7439850248328125,0.6442923803479212,1428,438,240,470
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,2,3383,5,0.5808454034880284,0.2856301531213192,0.7028985507246377,0.5495729669513554,0.40619765494137355,0.6495223795454668,0.30978259735491187,1480,1213,205,485
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,5,3712,6,0.779364224137931,0.18823529411764706,0.020887728459530026,0.9765784114052953,0.03760282021151586,0.571834358753472,0.29728268026797255,2877,69,750,16
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,1,3302,5,0.7289521502119928,0.352803738317757,0.46967340590979784,0.7916509966152689,0.4029352901934623,0.6385947078410306,0.3181715442859574,2105,554,341,302
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,4,3094,5,0.5148674854557207,0.21718213058419245,0.46607669616519176,0.5285596026490066,0.2962962962962963,0.4995183291332122,0.20928759140225503,1277,1139,362,316
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,3,2576,4,0.7449534161490683,0.531435349940688,0.6309859154929578,0.7883172561629154,0.5769478428847392,0.747153661518953,0.6467474644636134,1471,395,262,448
