regime,experiment,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
sleep_only,advanced_late_fusion,XGBoost,config_1,2,260,13213,2854,20,5,0.7890679747722494,0.1630901287553648,0.0853932584269663,0.9190535491905355,0.11209439528023599,0.5429228408449587,0.17294413813478143,2214,195,407,38
sleep_only,advanced_late_fusion,XGBoost,config_1,3,260,13618,2449,21,4,0.7321355655369539,0.3287128712871287,0.34368530020703936,0.8275686673448627,0.3360323886639676,0.5786665234451513,0.28544760982208783,1627,339,317,166
sleep_only,advanced_late_fusion,XGBoost,config_1,4,260,12820,3247,20,5,0.6405913150600554,0.29453441295546556,0.3823915900131406,0.7196299275945294,0.33276157804459694,0.5576997282019783,0.27697135389243654,1789,697,470,291
sleep_only,advanced_late_fusion,XGBoost,config_1,5,260,12023,4044,19,6,0.6871909000989119,0.38449490994518404,0.5061855670103093,0.7443070917371503,0.4370271473075211,0.6543795987631549,0.40361929515733475,2288,786,479,491
sleep_only,advanced_spo2,XGBoost,config_2,1,84,12594,3473,20,5,0.6495824935214511,0.3625441696113074,0.6195652173913043,0.6589792060491494,0.45742309407044135,0.667578970439166,0.3564640325861537,1743,902,315,513
sleep_only,advanced_spo2,XGBoost,config_2,2,84,13213,2854,20,5,0.7887175893482831,0.15350877192982457,0.07865168539325842,0.9198837691988377,0.10401188707280833,0.4727454629409378,0.15030670068942123,2216,193,410,35
sleep_only,advanced_spo2,XGBoost,config_2,3,84,13618,2449,21,4,0.6255614536545528,0.27109704641350213,0.5320910973084886,0.6485249237029501,0.3591893780573026,0.6283506989420564,0.3035277333194026,1275,691,226,257
sleep_only,advanced_spo2,XGBoost,config_2,4,84,12820,3247,20,5,0.6205728364644287,0.3012658227848101,0.469119579500657,0.666934835076428,0.3669064748201439,0.6036212778418539,0.287261779228454,1658,828,404,357
sleep_only,advanced_spo2,XGBoost,config_2,5,84,12023,4044,19,6,0.6691394658753709,0.37926509186351703,0.5958762886597938,0.6922576447625244,0.46351242983159585,0.6781015031290034,0.4647782297808056,2128,946,392,578
sleep_only,advanced_respiratory,XGBoost,config_2,1,152,12594,3473,20,5,0.6467031384969767,0.30383480825958703,0.37318840579710144,0.7323251417769376,0.33495934959349594,0.6000972576093806,0.2996744860151308,1937,708,519,309
sleep_only,advanced_respiratory,XGBoost,config_2,2,152,13213,2854,20,5,0.7578836720392431,0.2326086956521739,0.24044943820224718,0.8534661685346617,0.23646408839779007,0.5769609283538789,0.20522464558229211,2056,353,338,107
sleep_only,advanced_respiratory,XGBoost,config_2,3,152,13618,2449,21,4,0.6892609228256431,0.2652027027027027,0.3250517598343685,0.7787385554425229,0.29209302325581393,0.5878295411224777,0.26917291962445966,1531,435,326,157
sleep_only,advanced_respiratory,XGBoost,config_2,4,152,12820,3247,20,5,0.6008623344625809,0.29052466718872355,0.48751642575558474,0.6355591311343524,0.36408243375858684,0.5837885324704019,0.2857173900570349,1580,906,390,371
sleep_only,advanced_respiratory,XGBoost,config_2,5,152,12023,4044,19,6,0.655786350148368,0.36560509554140125,0.5917525773195876,0.6759921925829538,0.4519685039370079,0.6920329467633427,0.450172943702344,2078,996,396,574
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,1,236,12594,3473,20,5,0.6487186870141088,0.34542586750788645,0.5289855072463768,0.6862003780718336,0.4179389312977099,0.6493064116964833,0.3860318601639259,1815,830,390,438
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,2,236,13213,2854,20,5,0.8206026629292221,0.24427480916030533,0.07191011235955057,0.958904109589041,0.1111111111111111,0.5315357670906385,0.17455515813874606,2310,99,413,32
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,3,236,13618,2449,21,4,0.689669252756227,0.2885496183206107,0.391304347826087,0.762970498474059,0.3321616871704745,0.5886614896301304,0.2836257888376115,1500,466,294,189
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,4,236,12820,3247,20,5,0.6107175854635047,0.30816170861937453,0.5308804204993429,0.6351568785197104,0.38996138996138996,0.6046744819610053,0.2928925432238176,1579,907,357,404
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,5,236,12023,4044,19,6,0.6683976261127597,0.3808606294155427,0.6113402061855671,0.686402081977879,0.46933122279382666,0.6944082058367821,0.46407867403660796,2110,964,377,593
sleep_only,advanced_full,XGBoost,config_2,1,260,12594,3473,20,5,0.6104232651885978,0.3074101247248716,0.5060386473429952,0.6431001890359168,0.3824737562756732,0.6118786699907766,0.35260204749901336,1701,944,409,419
sleep_only,advanced_full,XGBoost,config_2,2,260,13213,2854,20,5,0.7484232655921513,0.18475750577367206,0.1797752808988764,0.8534661685346617,0.18223234624145787,0.5593826521331524,0.18384286519929482,2056,353,365,80
sleep_only,advanced_full,XGBoost,config_2,3,260,13618,2449,21,4,0.6737443854634545,0.22758620689655173,0.2732919254658385,0.7721261444557477,0.24835371589840075,0.5315592821232169,0.2138467967746554,1518,448,351,132
sleep_only,advanced_full,XGBoost,config_2,4,260,12820,3247,20,5,0.6144133045888512,0.28596338273757627,0.43101182654402104,0.670555108608206,0.3438155136268344,0.5548873956971128,0.27140511359744324,1667,819,433,328
sleep_only,advanced_full,XGBoost,config_2,5,260,12023,4044,19,6,0.6807616221562809,0.3851109520400859,0.554639175257732,0.7205595315549772,0.4545838614279679,0.6722409097921376,0.41437194913575126,2215,859,432,538
sleep_only,advanced_late_fusion,XGBoost,config_2,1,260,12594,3473,20,5,0.6533256550532681,0.34121621621621623,0.48792270531400966,0.7051039697542533,0.40159045725646125,0.6340794316137457,0.35434511483597786,1865,780,424,404
sleep_only,advanced_late_fusion,XGBoost,config_2,2,260,13213,2854,20,5,0.7831114225648214,0.152,0.0853932584269663,0.9119966791199668,0.1093525179856115,0.5533854786125064,0.17388461220708534,2197,212,407,38
sleep_only,advanced_late_fusion,XGBoost,config_2,3,260,13618,2449,21,4,0.7280522662311147,0.3230174081237911,0.34575569358178054,0.8219735503560529,0.334,0.5754377207559569,0.2796527857505259,1616,350,316,167
sleep_only,advanced_late_fusion,XGBoost,config_2,4,260,12820,3247,20,5,0.636895595934709,0.2926587301587302,0.3876478318002628,0.7131938857602574,0.33352176370830977,0.5576286336202841,0.2778256940096989,1773,713,466,295
sleep_only,advanced_late_fusion,XGBoost,config_2,5,260,12023,4044,19,6,0.6770524233432246,0.3697674418604651,0.4917525773195876,0.7355237475601821,0.42212389380530974,0.6373555393087351,0.3939235829933848,2261,813,493,477
sleep_only,advanced_spo2,XGBoost,config_3,1,84,12594,3473,20,5,0.6622516556291391,0.37995824634655534,0.6594202898550725,0.6631379962192817,0.4821192052980132,0.6741790179264494,0.36407292790427626,1754,891,282,546
sleep_only,advanced_spo2,XGBoost,config_3,2,84,13213,2854,20,5,0.7676944639103014,0.14144736842105263,0.09662921348314607,0.8916562889165629,0.11481975967957277,0.5021016693019156,0.15789014152621692,2148,261,402,43
sleep_only,advanced_spo2,XGBoost,config_3,3,84,13618,2449,21,4,0.634136382196815,0.2748091603053435,0.5217391304347826,0.6617497456765005,0.36,0.6307059556982153,0.29380952194902654,1301,665,231,252
