regime,feature_variant,experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
sleep_only,base,late_fusion,XGBoost,0.2,0.22051409721790005,0.21771724870369213,0.9994264410668197,0.004610492845786964,0.35754591156253207,58,12522,2,3485,0.004036933912606733
sleep_only,base,late_fusion,XGBoost,0.25,0.23514034978527418,0.21982429335370512,0.9902494981359334,0.025834658187599363,0.35978119301901534,325,12255,34,3453,0.016084156323532772
sleep_only,base,late_fusion,XGBoost,0.3,0.2742889151677351,0.22217689849751854,0.937195296816748,0.09054054054054055,0.359199824137173,1139,11441,219,3268,0.027735837357288462
sleep_only,base,late_fusion,XGBoost,0.35,0.3531462002863011,0.23145123658422773,0.8534556925724118,0.21446740858505564,0.3641480575099419,2698,9882,511,2976,0.06792310115746747
sleep_only,base,late_fusion,XGBoost,0.4,0.45397398394224187,0.24581650317368725,0.7330083166045311,0.3766295707472178,0.3681670867842996,4738,7842,931,2556,0.10963788735174895
sleep_only,base,late_fusion,XGBoost,0.45,0.570050413891828,0.26705706114667027,0.5623745339833668,0.5721780604133545,0.3621421975992613,7198,5382,1526,1961,0.1345525943967214
sleep_only,base,late_fusion,XGBoost,0.5,0.6754216717495488,0.3018348623853211,0.37740177803269287,0.7580286168521463,0.33541480820695807,9536,3044,2171,1316,0.1354303948848392
sleep_only,base,late_fusion,XGBoost,0.55,0.746872471525487,0.36709440879926675,0.2297103527387439,0.8902225755166931,0.28258952196154524,11199,1381,2686,801,0.11993292825543711
sleep_only,base,late_fusion,XGBoost,0.6,0.7735731623825232,0.41712403951701427,0.10897619730427302,0.9577901430842607,0.17280582082764892,12049,531,3107,380,0.06676634038853368
sleep_only,base,late_fusion,XGBoost,0.65,0.7811663658430323,0.44223107569721115,0.031832520791511325,0.9888712241653418,0.0593900481540931,12440,140,3376,111,0.02070374495685301
sleep_only,base,late_fusion,XGBoost,0.7,0.7824111532955748,0.3902439024390244,0.004588471465443074,0.9980127186009539,0.009070294784580499,12555,25,3471,16,0.002601190066396919
sleep_only,base,late_fusion,XGBoost,0.75,0.7829713076492189,0.5,0.00028677946659019213,0.9999205087440382,0.0005732301519059903,12579,1,3486,1,0.00020728821062832026
sleep_only,base,late_fusion,XGBoost,0.8,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,base,late_fusion,XGBoost,0.85,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,base,late_fusion,XGBoost,0.9,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,base,late_fusion,XGBoost,0.95,0.7829713076492189,0.0,0.0,1.0,0.0,12580,0,3487,0,0.0
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.05,0.21796228294018796,0.21709050112191475,0.9988528821336392,0.0015103338632750398,0.3566637652961958,19,12561,4,3483,0.00036321599691424566
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.1,0.22729818883425654,0.21803941384537645,0.9899627186693433,0.01589825119236884,0.3573683938092034,200,12380,35,3452,0.005860969861712029
sleep_only,base,respiratory_spo2_fusion,XGBoost,0.15,0.2508246716873094,0.22077073807968647,0.9693145970748495,0.051669316375198726,0.35963185614725757,650,11930,107,3380,0.02098391345004824
